,car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,Maruti Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
1,Hyundai Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
2,Hyundai i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000
3,Maruti Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000
4,Ford Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000
5,Maruti Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000
6,Hyundai i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000
7,Maruti Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000
8,Maruti Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000
9,Hyundai Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000
10,Maruti Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
11,Maruti Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000
12,Maruti Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000
13,Toyota Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000
14,Maruti Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
15,Maruti Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000
16,Maruti Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000
17,Hyundai Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000
18,Honda City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
19,Maruti Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000
20,Maruti Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000
21,Honda City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000
22,Hyundai i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000
23,Renault KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000
24,Honda Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000
25,Mahindra XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000
26,Maruti Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
27,Hyundai i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000
28,Hyundai i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000
29,Honda City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000
30,Maruti Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000
31,Maruti Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
32,Maruti Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000
33,Maruti Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000
34,Maruti Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000
35,Hyundai Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000
36,Hyundai i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
37,Maruti Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000
38,Hyundai i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
39,Hyundai i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
40,Mahindra Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000
41,Hyundai Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000
